TERYT4;GENDER;AGE_GROUP;predicted_BRCA_cases
3006;K;<45-54>;5.85634869281151
3015;K;<45-54>;8.45511597568695
222;K;<45-54>;5.23023990268593
1461;K;<45-54>;0
1438;K;<45-54>;8.34221464662706
209;K;<45-54>;3.87587025688253
3217;K;<45-54>;5.63395831953815
2404;K;<45-54>;13.9279263839594
2807;K;<45-54>;10.0486912787515
1418;K;<45-54>;20.6003153437362
1412;K;<45-54>;16.3943789939213
215;K;<45-54>;7.20132985859828
214;K;<45-54>;10.6537855680765
1861;K;<45-54>;4.81926674735648
1402;K;<45-54>;9.56187675159292
2605;K;<45-54>;8.93342536140525
2208;K;<45-54>;6.26973045372058
2602;K;<45-54>;8.70449652324307
1021;K;<45-54>;2.67658788964619
411;K;<45-54>;3.68665058230395
1009;K;<45-54>;4.66496253220433
661;K;<45-54>;5.82357451862842
2607;K;<45-54>;13.8446049365824
2207;K;<45-54>;6.79751142514105
2816;K;<45-54>;6.11433227819728
2479;K;<45-54>;5.51048815203305
2810;K;<45-54>;5.86575186423068
1018;K;<45-54>;4.18365651894501
1001;K;<45-54>;11.8707354692463
1407;K;<45-54>;5.08607797791777
1604;K;<45-54>;7.2993250861666
1006;K;<45-54>;7.16434623493244
1605;K;<45-54>;7.83682873529114
3022;K;<45-54>;5.32956700512014
2009;K;<45-54>;2.0233103835802
1864;K;<45-54>;5.36511043360066
1408;K;<45-54>;12.8405966527626
1818;K;<45-54>;9.77021745975698
220;K;<45-54>;7.46492971429335
410;K;<45-54>;9.5574106752636
804;K;<45-54>;9.28426173788968
2415;K;<45-54>;20.0129728633993
3212;K;<45-54>;4.22962124067527
