"","TERYT_CODE","gender","age","predicted_BRCA_cases"
"393",2212,"K","<55-64>",13.6993085122445
"394",2212,"K","<65-74>",7.92970044614404
"395",2212,"K","<75-84>",5.19366476913346
"396",2212,"K","85+",1.20706464676766
"397",2213,"M","<0-44>",0.0648529868392767
"398",2213,"M","<45-54>",0.209156879595149
"399",2213,"M","<55-64>",0.289929854474208
"400",2213,"M","<65-74>",0.402402119886479
"401",2213,"M","<75-84>",0.576570185395384
"402",2213,"M","85+",0.120409233997901
"403",2213,"K","<0-44>",6.47989653294609
"404",2213,"K","<45-54>",15.0453667976616
"405",2213,"K","<55-64>",17.9895963200206
"406",2213,"K","<65-74>",11.4606709628506
"407",2213,"K","<75-84>",6.66356989247312
"408",2213,"K","85+",1.54929753512324
"409",2216,"M","<0-44>",0.0205427797863587
"410",2216,"M","<45-54>",0.072925618256469
"411",2216,"M","<55-64>",0.0686098230339739
"412",2216,"M","<65-74>",0.147169560962664
"413",2216,"M","<75-84>",0.174822859698002
"414",2216,"M","85+",0.0341902763203917
"415",2216,"K","<0-44>",2.51397973850984
"416",2216,"K","<45-54>",5.17058462723505
"417",2216,"K","<55-64>",6.26495002822327
"418",2216,"K","<65-74>",3.31033027329324
"419",2216,"K","<75-84>",2.27515749525617
"420",2216,"K","85+",0.484059130376815
"421",2214,"M","<0-44>",0
"422",2214,"M","<45-54>",0.181277075586831
"423",2214,"M","<55-64>",0.467181386830933
"424",2214,"M","<65-74>",0.549486696959961
"425",2214,"M","<75-84>",0.554599628521309
"426",2214,"M","85+",0.105543896467296
"427",2214,"K","<0-44>",5.9168670717867
"428",2214,"K","<45-54>",13.9091475520635
"429",2214,"K","<55-64>",19.8747848537005
"430",2214,"K","<65-74>",10.7827082736902
"431",2214,"K","<75-84>",6.31633143580013
"432",2214,"K","85+",1.53622827134643
"433",2215,"M","<0-44>",0
"434",2215,"M","<45-54>",0.318414016996085
"435",2215,"M","<55-64>",1.15142525761699
"436",2215,"M","<65-74>",0.852924526858524
"437",2215,"M","<75-84>",0.849632820830324
"438",2215,"M","85+",0.167606680657572
"439",2215,"K","<0-44>",10.9854645232657
"440",2215,"K","<45-54>",23.4045037879873
"441",2215,"K","<55-64>",31.0813431483263
"442",2215,"K","<65-74>",15.7834955625537
"443",2215,"K","<75-84>",9.27957495256167
"444",2215,"K","85+",2.19069697876159
"445",2461,"M","<0-44>",0.142967739665168
"446",2461,"M","<45-54>",0.21586458462008
"447",2461,"M","<55-64>",0.611869548729616
"448",2461,"M","<65-74>",2.1466064991312
"449",2461,"M","<75-84>",0.579923058148049
"450",2461,"M","85+",0.0156193326079071
"451",2461,"K","<0-44>",9.70414965432121
"452",2461,"K","<45-54>",18.4992270510624
"453",2461,"K","<55-64>",35.1164241164241
"454",2461,"K","<65-74>",23.0822890051507
"455",2461,"K","<75-84>",11.9344875549048
"456",2461,"K","85+",2.68310777393103
"457",2462,"M","<0-44>",0.145281475160334
"458",2462,"M","<45-54>",0.256978707222493
"459",2462,"M","<55-64>",0.554797117937049
"460",2462,"M","<65-74>",2.29495059519178
"461",2462,"M","<75-84>",0.596969591309367
"462",2462,"M","85+",0.0113121146173377
"463",2462,"K","<0-44>",9.6404608648156
"464",2462,"K","<45-54>",19.8348326392324
"465",2462,"K","<55-64>",31.3835758835759
"466",2462,"K","<65-74>",24.8247962039178
"467",2462,"K","<75-84>",11.8464751098097
"468",2462,"K","85+",2.15390495031698
"469",2463,"M","<0-44>",0.0925640822622407
"470",2463,"M","<45-54>",0.153812523766964
"471",2463,"M","<55-64>",0.265260279324152
"472",2463,"M","<65-74>",1.49625249617469
"473",2463,"M","<75-84>",0.38610397610386
"474",2463,"M","85+",0.00743561842582517
"475",2463,"K","<0-44>",6.22188926811456
"476",2463,"K","<45-54>",11.3759972474894
"477",2463,"K","<55-64>",20.339695514171
"478",2463,"K","<65-74>",17.0929147909316
"479",2463,"K","<75-84>",7.91329673011225
"480",2463,"K","85+",1.43181511622679
"481",2464,"M","<0-44>",0.184738143205271
"482",2464,"M","<45-54>",0.323271884378111
"483",2464,"M","<55-64>",2.35623493677573
"484",2464,"M","<65-74>",3.29828850855746
"485",2464,"M","<75-84>",0.837155243552342
"486",2464,"M","85+",0.0217627856365615
"487",2464,"K","<0-44>",12.4065761956925
"488",2464,"K","<45-54>",27.295855464522
"489",2464,"K","<55-64>",57.9999999999999
"490",2464,"K","<65-74>",36.143593709719
"491",2464,"K","<75-84>",18.7486066373841
"492",2464,"K","85+",3.58201070095769
"493",2465,"M","<0-44>",0.101115226373652
"494",2465,"M","<45-54>",0.16622705352623
"495",2465,"M","<55-64>",0.3902155958077
"496",2465,"M","<65-74>",0.318761384335154
"497",2465,"M","<75-84>",0.365818601641891
"498",2465,"M","85+",0.0085917664127675
"499",2465,"K","<0-44>",6.69359068372277
"500",2465,"K","<45-54>",14.1764103630112
"501",2465,"K","<55-64>",28.343505823382
"502",2465,"K","<65-74>",14.8188894509077
"503",2465,"K","<75-84>",7.70402269399708
"504",2465,"K","85+",1.56040645654422
"505",2466,"M","<0-44>",0.142525380589946
"506",2466,"M","<45-54>",0.255825782402395
"507",2466,"M","<55-64>",0.604340923172242
"508",2466,"M","<65-74>",0.463762376237623
"509",2466,"M","<75-84>",0.648450121456548
"510",2466,"M","85+",0.0164581066376496
"511",2466,"K","<0-44>",9.15983982285897
"512",2466,"K","<45-54>",20.4730590857938
"513",2466,"K","<55-64>",34.4056016597511
"514",2466,"K","<65-74>",25.7915904266998
"515",2466,"K","<75-84>",12.4879880429478
"516",2466,"K","85+",2.35792005755137
"517",2467,"M","<0-44>",0.0840628832780505
"518",2467,"M","<45-54>",0.12426882525196
"519",2467,"M","<55-64>",0.225777037741833
"520",2467,"M","<65-74>",0.411165294198831
"521",2467,"M","<75-84>",0.231832850993929
"522",2467,"M","85+",0.00285636561479869
"523",2467,"K","<0-44>",5.41665150051565
"524",2467,"K","<45-54>",8.98186974794936
